city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price
 الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 الرياض,   حي القادسية ,جنوب,370,0,4,5,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,60000
 الرياض,   حي القادسية ,جنوب,380,0,4,5,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,60000
 الرياض,   حي المعيزلة ,غرب,250,0,5,5,3,0,1,1,1,0,0,0,0,1,0,0,0,0,0,55000
 الرياض,   حي العليا ,غرب,400,11,7,5,2,1,1,1,1,0,0,1,0,1,0,1,1,0,0,70000
 الرياض,   حي الازدهار ,شرق,250,25,5,4,1,1,0,0,1,0,1,0,,1,0,1,1,0,0,45000
 الرياض,   حي المهدية ,شمال,250,0,5,5,3,1,1,0,1,0,0,0,,0,0,1,1,0,0,45000
 الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,,1,0,1,1,0,0,80000
 الرياض,   حي الحزم ,جنوب شرقي,288,6,5,5,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,37000
 الرياض,   حي العليا ,جنوب غربي,250,0,4,4,4,1,1,0,1,0,1,0,0,1,0,0,1,0,0,150000
 الرياض,   حي العارض ,شمال,290,0,3,5,3,1,1,1,1,1,1,0,,1,0,1,0,0,0,150000
 الرياض,   حي الصحافة ,شرق,400,0,5,4,1,1,1,1,1,0,1,1,,0,0,0,1,0,0,90000
 الرياض,   حي بنبان ,شمال,840,0,5,5,2,1,1,1,1,0,1,1,,0,0,0,1,1,0,150000
 الرياض,   حي العارض ,جنوب,440,0,5,5,2,1,1,1,1,0,0,1,0,1,0,0,1,0,0,90000
 الرياض,   حي النسيم الغربي ,شرق,500,0,5,5,3,1,1,1,1,0,0,1,0,1,0,0,1,0,1,70000
 الرياض,   حي الازدهار ,شرق,900,20,7,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,250000
 الرياض,   حي النرجس ,شمال غربي,377,0,7,5,2,1,1,1,1,0,0,1,0,1,0,0,1,0,1,76000
 الرياض,   حي الملز ,جنوب غربي,750,28,7,5,3,1,1,1,1,0,0,1,1,1,0,0,0,0,1,80000
 الرياض,   حي العارض ,شمال,250,0,5,5,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,85000
 الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 الرياض,   حي الياسمين ,جنوب,339,9,4,5,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,120000
 الرياض,   حي المونسية ,جنوب,350,0,3,3,2,1,0,1,1,0,0,1,0,1,0,0,1,0,0,65000
 الرياض,   حي السليمانية ,شمال,200,10,4,5,2,1,0,1,1,0,1,0,0,0,0,1,1,0,0,90000
 الرياض,   حي العارض ,شرق,220,0,4,5,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,85000
 الرياض,   حي العقيق ,شرق,900,20,5,5,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,200000
 الرياض,   حي المونسية ,شمال غربي,290,0,7,5,2,1,1,0,1,1,1,1,0,1,0,0,1,0,0,90000
 الرياض,   حي المرسلات ,غرب,400,18,5,5,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,150000
 الرياض,   حي العقيق ,غرب,375,13,5,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,0,80000
 الرياض,   حي المونسية ,شرق,200,5,7,5,2,1,0,0,1,0,1,0,0,0,0,1,1,0,0,50000
 الرياض,   حي الرحمانية ,شمال,450,12,7,5,2,1,1,1,1,0,1,0,0,1,0,0,0,0,0,130000
 الرياض,   حي الرمال ,غرب,360,0,4,4,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,45000
